simulation,seed,total_return,sharpe_ratio,max_drawdown,final_value
1,0,145.19806550598145,7.5321917207603,-8.819932505429872,245198.06550598145
2,1,115.95365286064148,7.678045922680187,-8.933670514343692,215953.65286064148
3,2,170.01162302970886,9.881808099059532,-6.485843436771091,270011.62302970886
4,3,87.16078005027771,7.830038464616055,-10.899288441469695,187160.7800502777
5,4,132.50713882255553,8.694260171602064,-6.844061764262804,232507.13882255554
6,5,142.91704994010925,9.424773444983726,-6.419835347755798,242917.04994010925
7,6,152.1041779613495,8.897255344018598,-3.6126574630737305,252104.1779613495
8,7,93.21366485023499,8.093564343636018,-9.138559983449515,193213.66485023499
9,8,148.98122997093202,7.850853753953691,-6.942338175079102,248981.229970932
10,9,109.19678667259217,8.834355170134474,-8.265768289164109,209196.78667259216
11,10,137.45969602870943,8.773362205948981,-10.178916842353281,237459.6960287094
12,11,144.59535595130922,9.035268853968875,-8.390582314237584,244595.3559513092
13,12,138.88454466438293,10.139326378508999,-8.717593396529493,238884.54466438293
14,13,117.39410737609863,7.881413391149049,-7.907777760524545,217394.10737609863
15,14,88.65411281013489,7.500874691268287,-8.671574902738026,188654.1128101349
16,15,152.89278460502624,11.33319498450455,-4.6643745552634135,252892.78460502625
17,16,108.43753276824953,7.762097029548897,-8.978293113273073,208437.5327682495
18,17,140.91890850448607,10.175485271612914,-8.742988505990192,240918.90850448608
19,18,104.569766872406,7.110386207132024,-11.837049198746326,204569.766872406
20,19,150.00778724098205,8.713752545542842,-8.031908436713298,250007.78724098206
21,20,133.99437578773498,9.050260325858943,-8.128859712100429,233994.37578773499
22,21,164.35463515281677,8.614400093031653,-6.802871461291335,264354.6351528168
23,22,132.1524563179016,8.112077912313413,-9.932895753097224,232152.4563179016
24,23,98.11331367492676,7.462405351307927,-13.999464172868754,198113.31367492676
25,24,83.58112494659424,7.575879352440846,-10.332516820044594,183581.12494659424
26,25,101.39213666725159,7.330045520637766,-5.957109322155645,201392.1366672516
27,26,104.9710857219696,9.608121539082743,-3.8461635222202957,204971.0857219696
28,27,122.91148859405519,7.105745742573182,-9.036840486105135,222911.48859405518
29,28,108.57520072174071,9.066893419674996,-4.856984201369168,208575.20072174072
30,29,138.84202245521547,8.50479624576071,-5.192015175699909,238842.02245521545
31,30,116.74486611366272,8.999804599810272,-4.500970685173436,216744.86611366272
32,31,116.69290069961549,7.854248465351805,-4.47249027785466,216692.90069961548
33,32,147.04937704849243,7.791718579052661,-12.179363494505383,247049.37704849243
34,33,117.21900784111024,7.042722164501019,-9.909010329590405,217219.00784111023
35,34,165.1385497531891,10.072131370169913,-7.476778071190555,265138.5497531891
36,35,143.41300475502015,8.694161049761497,-6.275108199004387,243413.00475502014
37,36,110.6878978691101,8.406927681365218,-6.289976184959061,210687.8978691101
38,37,127.98329256868361,8.425057052102048,-6.641230896350543,227983.29256868362
39,38,128.1979754199982,9.400043434159327,-4.819569133278569,228197.97541999817
40,39,111.5078607521057,8.186872090389942,-6.57099535797144,211507.8607521057
41,40,151.8534307975769,6.185479354882108,-19.022821658469667,251853.4307975769
42,41,147.00669923973084,10.412315277872336,-7.174498721097954,247006.69923973083
43,42,146.01184586715698,8.644247076363811,-8.868608564352298,246011.84586715698
44,43,133.09254372406005,7.474447232540314,-12.062736453851233,233092.54372406006
45,44,101.51198211479186,6.724946065677269,-15.561021617710349,201511.98211479187
46,45,132.21931756591795,8.430483561160507,-7.592446262855752,232219.31756591797
47,46,155.284718296051,9.051107167411105,-6.4325944177141965,255284.71829605103
48,47,103.6658111515045,8.570156000494508,-5.4774725209608,203665.81115150452
49,48,86.16577060890198,7.991400028918786,-6.210686969757385,186165.77060890198
50,49,153.8704660053253,7.516912475097169,-10.8442929802982,253870.46600532532
