config,fee_label,fee_pct,mean_return,mean_return_no_fees,mean_sharpe,mean_drawdown,mean_fees,mean_transactions,impact_fees,final_value,final_value_no_fees
BASE (20/6/-10%),0.00%,0.0,123.04210155503749,123.04210155503749,8.265246949201666,-8.153245016390372,0.0,65.4,0.0,223042.1015550375,223042.1015550375
BASE (20/6/-10%),0.10%,0.001,116.20997962585804,116.21994305937068,8.290314446386635,-7.400522833839149,411.1983465222994,66.73333333333333,0.009963433512624912,216209.97962585802,216219.94305937068
BASE (20/6/-10%),0.20%,0.002,119.879369263244,119.90307123402087,8.266020589171971,-7.303082744332684,787.0514978644053,63.4,0.023701970776875688,219879.36926324398,219903.07123402084
BASE (20/6/-10%),0.50%,0.005,116.32470754736136,116.37474862575081,8.092134005191271,-8.677310094773324,2052.7291006339788,66.13333333333334,0.05004107838948642,216324.70754736135,216374.7486257508
BASE (20/6/-10%),1.00%,0.01,114.62009354073885,114.72873483802836,7.901778778530825,-9.094322628105372,3951.5927449079363,63.6,0.108641297289527,214620.09354073883,214728.73483802838
OPTIMISEE (30/3/-5%),0.00%,0.0,130.41231630910235,130.41231630910235,8.936855908473236,-6.130897080853145,0.0,174.26666666666668,0.0,230412.31630910237,230412.31630910237
OPTIMISEE (30/3/-5%),0.10%,0.001,133.3765405409463,133.40154212341457,8.722722262225355,-5.7245888331594745,874.9711444568951,173.26666666666668,0.025001582468291872,233376.54054094633,233401.54212341463
OPTIMISEE (30/3/-5%),0.20%,0.002,134.85835803851052,134.9107446443826,8.84249505704871,-5.96184850312304,1738.1306515717345,171.4,0.05238660587208652,234858.35803851052,234910.7446443826
OPTIMISEE (30/3/-5%),0.50%,0.005,125.39713798778169,125.49816169876179,8.65984644501838,-6.530940015265909,4164.754700747014,171.0,0.10102371098010016,225397.1379877817,225498.16169876175
OPTIMISEE (30/3/-5%),1.00%,0.01,117.78050029866297,118.014284331491,8.602885099878709,-7.305160526291569,8609.607003128529,178.46666666666667,0.23378403282801324,217780.50029866298,218014.28433149096
